GEOID,mean_abs_shap_slope,mean_abs_shap_NDVI_pre,mean_abs_shap_tmmx_jja,mean_abs_shap_elev,mean_abs_shap_aspect
06001,0.5399272,0.39406213,0.14663471,0.53184307,0.34518597
06003,0.852345,0.69834083,0.3892796,0.33747825,0.46632186
06005,0.38092914,0.37290236,0.34063625,0.5158164,0.37235412
06007,0.39658147,0.34542727,0.30351582,0.6898076,0.3124237
06009,0.37349552,0.23208982,0.26634672,0.52485424,0.4281716
06011,0.37768877,0.2286221,0.32294327,0.6311184,0.4214097
06013,0.40338218,0.2817,0.22024004,0.6280118,0.36508334
06015,0.60426533,1.0296389,0.24851225,0.36524373,0.4505338
06017,0.5112675,0.46093237,0.31689847,0.4250921,0.4038498
06019,0.7986704,0.42680797,0.5828687,0.41200957,0.30673552
06021,0.55961806,0.23153484,0.44467178,0.5612856,0.48020494
06023,0.6416547,1.2015802,0.18172143,0.4041216,0.47662282
06025,0.6003435,0.5796765,1.0797513,0.39219338,0.18164082
06027,1.2777314,0.7867352,0.72846574,0.3806722,0.3510994
06029,0.73098093,0.51797295,0.6638756,0.36674812,0.36390847
06031,0.60160613,0.28324318,0.8087201,0.57813495,0.2737563
06033,0.59625083,0.36194107,0.36810425,0.5063161,0.47395325
06035,0.6963019,0.63191247,0.3374436,0.26028693,0.4381758
06037,0.5657659,0.53730375,0.34307766,0.46339548,0.29785684
06039,0.7103593,0.2761028,0.56551874,0.5198052,0.41453475
06041,0.42354673,0.6187624,0.1828168,0.5514374,0.30032128
06043,0.5984059,0.29941717,0.46021295,0.4755339,0.38748983
06045,0.59339225,0.928181,0.17055719,0.4573614,0.44749483
06047,0.36612263,0.24283624,0.48916516,0.7395256,0.4267022
06049,0.80801344,0.60947454,0.27066228,0.29054037,0.37066656
06051,1.0014096,0.80889815,0.35612682,0.2870566,0.44890592
06053,0.60552907,0.27920315,0.24245042,0.49496353,0.44940636
06055,0.54667443,0.29007557,0.41213933,0.5065198,0.4801864
06057,0.48452142,0.5754788,0.32755023,0.4905304,0.42111334
06059,0.49299043,0.47025806,0.09567184,0.57553416,0.18773519
06061,0.5080425,0.5202921,0.33588484,0.5142124,0.4561438
06063,0.7887532,0.46568903,0.22685915,0.3799398,0.5109651
06065,0.7460797,0.68095285,0.90390056,0.35744655,0.29790232
06067,0.32858744,0.12096224,0.2560407,1.0101792,0.35186306
06069,0.5296522,0.3347995,0.33470723,0.4887903,0.49718207
06071,0.59456915,0.889175,1.0928625,0.30432504,0.2864827
06073,0.73056895,0.45324963,0.32805005,0.40715584,0.2862466
06075,0.532184,0.68381745,0.22764099,0.7686368,0.24390917
06077,0.36442968,0.19383167,0.40187433,0.8358633,0.4052172
06079,0.3803373,0.3361114,0.33103836,0.4808798,0.34167787
06081,0.47825342,0.5853046,0.23850912,0.59125316,0.30510136
06083,0.49841186,0.36893407,0.23195451,0.43735456,0.31645834
06085,0.57360864,0.37187302,0.18181413,0.60526943,0.5104138
06087,0.5434542,0.78701884,0.14182433,0.50648725,0.30961618
06089,0.6541645,0.422962,0.38091594,0.40246773,0.47443873
06091,0.7011905,0.54487383,0.2959009,0.36892152,0.50740707
06093,0.88665897,0.5340538,0.26297057,0.3048133,0.4876261
06095,0.3976342,0.24835153,0.33935994,0.8972312,0.47338316
06097,0.4166131,0.5213669,0.14475875,0.5069736,0.36788318
06099,0.32821637,0.25186306,0.44234794,0.7573035,0.49473253
06101,0.19748165,0.19465956,0.43456972,0.86613107,0.23771335
06103,0.5153424,0.2242128,0.5060635,0.42880422,0.46855313
06105,0.8355806,0.72421604,0.2431689,0.37209845,0.5264115
06107,0.78355104,0.41253173,0.4825964,0.3969333,0.36251533
06109,0.6119768,0.4618177,0.33629638,0.38545334,0.40241522
06111,0.6972498,0.426767,0.1505306,0.41030058,0.36266497
06113,0.31113192,0.16384824,0.41617826,0.77463543,0.4889421
06115,0.29952493,0.43256178,0.33312073,0.7089777,0.3516898
